"provider_dataset_id","provider_version","raw_relative_path","source_rows","unique_sample_ids","unique_dates","earliest_date","latest_date","unique_stations","core_rows","external_transfer_rows","outside_domain_rows","carbon_rows","biovolume_rows","abundance_or_count_rows","method_metadata_rows","parameters","units"
"SHARK_Phytoplankton_2017_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2017_UMSC_version_2025-03-09.zip",3716,22,21,"2017-01-16","2017-12-07",4,0,0,3716,929,929,1858,3716,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2018_2021_SLCK","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_2021_SLCK_version_2025-03-09.zip",7528,163,154,"2018-03-22","2021-12-21",4,0,7528,0,1837,1837,3854,7528,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2018_BDLST","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_BDLST_version_2025-03-09.zip",6004,23,6,"2018-06-13","2018-09-18",2,0,0,6004,1201,1201,3602,6004,"# counted|Abundance|Abundance class|Biovolume concentration|Carbon concentration","class|ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2018_DEEP","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_DEEP_version_2025-03-09.zip",4660,30,25,"2018-01-26","2018-12-06",4,0,0,4660,1165,1165,2330,4660,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2018_DEEP_CLST_ABLST_SKVVF","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_DEEP_CLST_ABLST_SKVVF_version_2025-03-09.zip",1160,5,3,"2018-07-14","2018-08-14",4,0,0,1160,290,290,580,1160,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2018_DEEP_SKVVF","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_DEEP_SKVVF_version_2025-03-09.zip",7937,37,13,"2018-07-13","2018-08-16",20,0,0,7937,1967,1990,3980,7937,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2018_MEDINS_DVF","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_MEDINS_DVF_version_2025-03-09.zip",659,4,1,"2018-08-07","2018-08-07",4,0,0,659,164,165,330,659,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2018_MEDINS_LVX","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_MEDINS_LVX_version_2025-03-09.zip",368,3,3,"2018-06-14","2018-08-11",1,0,0,368,92,92,184,368,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2018_MEDINS_UVVVF","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_MEDINS_UVVVF_version_2025-03-09.zip",943,6,3,"2018-06-28","2018-08-20",2,0,0,943,235,236,472,943,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2018_PELA_GVVF","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_PELA_GVVF_version_2025-03-09.zip",192,6,3,"2018-06-15","2018-08-14",2,0,0,192,0,96,96,192,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_2018_PELA_SVAB","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_PELA_SVAB_version_2025-03-09.zip",2706,88,44,"2018-01-24","2018-12-11",7,0,0,2706,0,1353,1353,2706,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_2018_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2018_SMHI_version_2025-03-09.zip",9950,41,32,"2018-01-10","2018-12-08",3,0,9950,0,2486,2488,4976,0,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
