"ds_id","reported_taxon_name","reported_aphia_id","reported_size_class","reported_lifeforms","reported_measurement","reported_unit","source_row_count","match_route","peg_candidate_rows","peg_carbon_pg_min","peg_carbon_pg_max","conversion_match_state"
"DS02","Planothidium lemmermannii","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Planothidium minutissimum","","","","AANTFTE","PROCENT",12,"no_match_key",0,,,"unmatched"
"DS02","Planothidium pericavum","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Planothidium rostratoholarcticum","","","","AANTFTE","PROCENT",10,"no_match_key",0,,,"unmatched"
"DS02","Planothidium rostratum","","","","AANTFTE","PROCENT",38,"no_match_key",0,,,"unmatched"
"DS02","Planothidium vanheurckii","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Planothidium victori","","","","AANTFTE","PROCENT",7,"no_match_key",0,,,"unmatched"
"DS02","Plantae","","","","AANTPVLME","N/ML",3164,"no_match_key",0,,,"unmatched"
"DS02","Platessa","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Platessa conspicua","","","","AANTFTE","PROCENT",12,"no_match_key",0,,,"unmatched"
"DS02","Platessa hustedtii","","","","AANTFTE","PROCENT",3,"no_match_key",0,,,"unmatched"
"DS02","Pleodorina californica","","","","AANTPVLME","N/L",1,"no_match_key",0,,,"unmatched"
"DS02","Pleurochloridaceae","","","","AANTPVLME","N/L",2,"no_match_key",0,,,"unmatched"
"DS02","Pleurochloridaceae","","","","AANTPVLME","N/ML",277,"no_match_key",0,,,"unmatched"
"DS02","Pleurochrysis carterae","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Pleurosigma","","","","AANTFTE","PROCENT",8,"reported_name_diagnostic_only",6,539,2952,"name_candidate_requires_worms_validation"
"DS02","Pleurosigma","","","","AANTPVLME","N/L",444,"reported_name_diagnostic_only",6,539,2952,"name_candidate_requires_worms_validation"
"DS02","Pleurosigma","","","","AANTPVLME","N/ML",8,"reported_name_diagnostic_only",6,539,2952,"name_candidate_requires_worms_validation"
"DS02","Pleurosigma aestuarii","","","","AANTPVLME","N/L",8,"no_match_key",0,,,"unmatched"
"DS02","Pleurosigma angulatum","","","","AANTPVLME","N/L",453,"no_match_key",0,,,"unmatched"
"DS02","Pleurosigma formosum","","","","AANTPVLME","N/L",36,"no_match_key",0,,,"unmatched"
"DS02","Pleurosigma normanii","","","","AANTPVLME","N/L",255,"no_match_key",0,,,"unmatched"
"DS02","Pleurosigma salinarum","","","","AANTFTE","PROCENT",2,"reported_name_diagnostic_only",1,724,724,"name_candidate_requires_worms_validation"
"DS02","Pleurosigma simonsenii","","","","AANTPVLME","N/L",215,"no_match_key",0,,,"unmatched"
"DS02","Pleurosigmataceae","","","","AANTPVLME","N/L",3629,"no_match_key",0,,,"unmatched"
