"file_name","raw_relative_path","source_rows","valid_coordinate_rows","valid_time_rows","chlorophyll_present_rows","qc_eligible_chlorophyll_rows","usable_secondary_rows","core_usable_rows","external_transfer_usable_rows","outside_domain_usable_rows","invalid_coordinate_usable_rows","first_datetime_utc","last_datetime_utc"
"HZG-Ferrybox_Harw-CuxNR10976.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR10976.nc",5721,5721,5721,5721,5721,5721,5721,0,0,0,"2002-05-11T15:29:04Z","2002-05-12T07:21:25Z"
"HZG-Ferrybox_Cux-HarwNR10977.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR10977.nc",5685,5685,5685,5685,5685,5685,5685,0,0,0,"2002-05-12T16:42:54Z","2002-05-13T08:30:13Z"
"HZG-Ferrybox_Harw-CuxNR10978.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR10978.nc",5684,5684,5684,5684,5684,5684,5684,0,0,0,"2002-05-13T15:33:35Z","2002-05-14T07:20:46Z"
"HZG-Ferrybox_Cux-HarwNR10979.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR10979.nc",5709,5709,5709,5709,5709,5709,5709,0,0,0,"2002-05-14T16:43:25Z","2002-05-15T08:34:45Z"
"HZG-Ferrybox_Harw-CuxNR10980.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR10980.nc",5686,5686,5686,5686,5686,5686,5686,0,0,0,"2002-05-15T15:34:16Z","2002-05-16T07:21:45Z"
"HZG-Ferrybox_Cux-HarwNR10981.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR10981.nc",5613,5613,5613,5613,5613,5613,5613,0,0,0,"2002-05-16T17:37:24Z","2002-05-17T09:12:44Z"
"HZG-Ferrybox_Harw-CuxNR10982.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR10982.nc",5721,5721,5721,5721,5721,5721,5721,0,0,0,"2002-05-17T15:32:45Z","2002-05-18T07:26:05Z"
"HZG-Ferrybox_Cux-HarwNR10983.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR10983.nc",5757,5757,5757,5757,5757,5757,5757,0,0,0,"2002-05-18T16:37:44Z","2002-05-19T08:37:04Z"
"HZG-Ferrybox_Harw-CuxNR10984.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR10984.nc",5687,5687,5687,5687,5687,5687,5687,0,0,0,"2002-05-19T15:32:36Z","2002-05-20T07:20:15Z"
"HZG-Ferrybox_Cux-HarwNR10985.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR10985.nc",5712,5712,5712,5712,5712,5712,5712,0,0,0,"2002-05-20T16:36:43Z","2002-05-21T08:33:54Z"
"HZG-Ferrybox_Harw-CuxNR10986.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR10986.nc",5718,5718,5718,5718,5718,5718,5718,0,0,0,"2002-05-21T15:30:36Z","2002-05-22T07:23:24Z"
"HZG-Ferrybox_Cux-HarwNR10998.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR10998.nc",5564,5564,5564,5564,5564,5564,5564,0,0,0,"2002-05-22T17:04:45Z","2002-05-23T08:31:53Z"
"HZG-Ferrybox_Harw-CuxNR11018.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR11018.nc",5676,5676,5676,5676,5676,5676,5676,0,0,0,"2002-05-23T15:36:35Z","2002-05-24T07:22:25Z"
"HZG-Ferrybox_Cux-HarwNR11038.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR11038.nc",5756,5756,5756,5756,5756,5756,5756,0,0,0,"2002-05-24T16:30:36Z","2002-05-25T08:29:45Z"
"HZG-Ferrybox_Harw-CuxNR11058.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR11058.nc",5684,5684,5684,5684,5684,5684,5684,0,0,0,"2002-05-25T15:32:05Z","2002-05-26T07:19:13Z"
"HZG-Ferrybox_Cux-HarwNR11078.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR11078.nc",5744,5744,5744,5744,5744,5744,5744,0,0,0,"2002-05-26T16:29:04Z","2002-05-27T08:26:15Z"
"HZG-Ferrybox_Harw-CuxNR11098.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR11098.nc",5702,5702,5702,5702,5702,5702,5702,0,0,0,"2002-05-27T15:26:04Z","2002-05-28T07:27:05Z"
"HZG-Ferrybox_Cux-HarwNR11118.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR11118.nc",5723,5723,5723,5723,5723,5723,5723,0,0,0,"2002-05-28T16:31:26Z","2002-05-29T08:25:14Z"
"HZG-Ferrybox_Harw-CuxNR11138.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR11138.nc",5740,5740,5740,5740,5740,5740,5740,0,0,0,"2002-05-29T15:30:25Z","2002-05-30T07:26:56Z"
"HZG-Ferrybox_Cux-HarwNR11158.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR11158.nc",5591,5591,5591,5591,5591,5591,5591,0,0,0,"2002-05-30T17:05:06Z","2002-05-31T08:36:45Z"
"HZG-Ferrybox_Harw-CuxNR11178.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR11178.nc",5743,5743,5743,5743,5743,5743,5743,0,0,0,"2002-05-31T15:33:23Z","2002-06-01T07:30:25Z"
"HZG-Ferrybox_Cux-HarwNR11198.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR11198.nc",5631,5631,5631,5631,5631,5631,5631,0,0,0,"2002-06-01T16:47:35Z","2002-06-02T08:25:57Z"
"HZG-Ferrybox_Harw-CuxNR11218.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR11218.nc",5740,5740,5740,5740,5740,5740,5740,0,0,0,"2002-06-02T15:29:13Z","2002-06-03T07:25:44Z"
"HZG-Ferrybox_Cux-HarwNR11238.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR11238.nc",5725,5725,5725,5725,5725,5725,5725,0,0,0,"2002-06-03T16:43:16Z","2002-06-04T08:37:13Z"
