"provider_taxon_id","scientific_name","occurrence_rows"
"956","Blepharocysta paulsenii",32
"10633","Neocalyptrella robusta",31
"401","Euchirella messinensis",31
"815","Euchaeta paraconcinna",31
"10557","Ellobiopsis (+)",30
"10565","Mollusc eggs (+)",30
"10594","Aetideus giesbrechti",30
"320","Scaphocalanus echinatus",30
"233","Ceratium inflatum",29
"448","Paedoclione doliiformis",29
"10651","Calanoides acutus",28
"1549","Acartia tonsa",28
"1566","Neocalanus flemingeri",28
"1615","Epilabidocera spp",28
"472","Firoloida spp.",28
"10506","Polykrikos kofoidii cysts",27
"1646","Drepanopus forcipatus",27
"1685","Cymatocylis spp.",27
"217","Ceratium falcatum",27
"1574","Paraeuchaeta spp.",26
"1606","Dinophysis sacculus",26
"1693","Chaetoceros bulbosus",26
"261","Ceratium contortum",26
"275","Gymnodinium spp.",26
"10627","Gonyaulax grindleyi",25
"1550","Acartia tumida",25
"1560","Metridia okhotensis",25
"245","Ceratium setaceum",25
"415","Scolecithrix bradyi",25
"10745","Ceratium",24
"1664","Neocalanus tonsus",24
"1639","Rhizosolenia spp.",23
"1681","Prorocentrum dentatum",23
"425","Scaphocalanus",23
"1688","Acartia",22
"488","Peraclis spp.",22
"1616","Dinophysis fortii",21
"10635","Proboscia truncata",20
"10637","Meuniera membranacea",20
"10646","Thalassiosira maculata",20
"477","Oxygyrus spp.",20
"10514","Scyphosphaera apsteinii",19
"10538","Holothurian wheel ossicles (‘wagon wheels’)",19
"1655","Calanoides acutus",19
"192","Surirella spp.",19
"10607","Paraeuchaeta tonsa",18
"1669","Rhincalanus gigas",18
"1704","Euphausia superba",18
"1599","Heterophryxus appendiculatus",17
"1642","Dinophysis punctata",17
"982","Aulacodiscus argus",17
"10619","Odontella weissflogii",16
"10677","seed potato incertae sedis",16
"10752","",16
"10551","Steenstrupiella spp.",15
"1589","Hemicyclops aberdonensis",15
"466","Pterotrachea spp.",15
"10069","Monstrilloida",14
"10543","Epiplocylis spp.",14
"10558","Paracineta (+)",14
"10664","Heterorhabdus austrinus",14
"10667","Paraeuchaeta antarctica",14
"10689","",14
"10711","Black stuff (+)",14
"1576","Scolecithrix",14
"1645","Drepanopus forcipatus",14
"219","Ceratium breve",14
"395","Euchaeta pubera",14
"10654","Calanus propinquus",13
"10722","Plastic fragment clear/transparent",13
"10728","Plastic fragment colour other",13
"10737","Corolla",13
"404","Haloptilus longicornis",13
"406","Heterorhabdus abyssalis",13
"10727","Plastic fragment green",12
"10734","Plastic flake green",12
"131","Ceratium kofoidii",12
"1663","Metridia gerlachei",12
"1701","Rhincalanus gigas",12
"478","Pneumoderma spp.",12
"971","Triceratium favus",12
"10522","Pterosperma polygonum",11
"10570","Nephrops larvae",11
"10574","Eurydice spp.",11
"10617","Bleakeleya notata",11
"10693","Marine mite",11
"1584","Euchirella pseudopulchra",11
"1590","Lithodesmium undulatum",11
"1647","Drepanopus forcipatus",11
"1684","Gaetanus simplex",11
"10599","Subeucalanus mucronatus",10
"10655","Calanus propinquus",10
"10685","Eurytemora",10
"10694","Calanus",10
"10719","Plastic strand yellow",10
"10725","Plastic fragment red",10
"159","Odontella obtusa",10
"1624","Grammatophora spp.",10
"1674","Rhincalanus gigas",10
"962","Eucampia groenlandica",10
"10595","Aetideus spp.",9
"10660","Euchaetidae",9
"10739","Plastic other (e.g. bead, foam, nurdle)",9
"1680","Prorocentrum rostratum",9
"400","Euchirella curticauda",9
"410","Phaenna spinifera",9
"475","Carinaria spp.",9
"819","Candacia giesbrechti",9
"10500","Multispinula quanta",8
"10661","Euchaetidae",8
"1620","Eurytemora pacifica",8
"1667","Paraeuchaeta antarctica",8
"1678","Brachiopoda",8
"239","Ceratium pavillardii",8
"476","Cuvierina spp.",8
"10517","Pterosperma cuboides",7
"10563","Phyllosoma larvae",7
"10648","Neocalanus",7
"1656","Calanus propinquus",7
"206","Hemidiscus cuneiformis",7
"10702","",6
"10705","Membraneis",6
"10729","Plastic flake clear/transparent",6
"10740","Radiosperma corbiferum",6
"1653","Cymatocylis antarctica",6
"1689","Alexandrium spp.",6
"256","Histioneis spp.",6
"276","Katodinium spp.",6
"10525","Pterosperma undulatum",5
"10529","",5
"10602","Paraeuchaeta glacialis",5
"10608","Gaetanus",5
"10687","Pseudodiaptomus",5
"10692","Amphidinium",5
"10698","Rhizosolenia crassa",5
"1579","Ceratium symmetricum",5
"1591","Ceratium limulus",5
"1597","Thliptodon spp.",5
"1630","Banquisia belgicae",5
"260","Ceratium concilians",5
"265","Centrodinium spp.",5
"329","Diaixis hibernica",5
"405","Haloptilus spiniceps",5
"10575","Idotea spp.",4
"10609","Gaetanus tenuispinus",4
"10649","Cymatocylis calyciformis",4
"10656","Calanus propinquus",4
"10678","Ceratium divaricatum",4
"10697","Paracalanus",4
"10709","",4
"1547","Chaetoceros spp.",4
"1580","Temora discaudata",4
"1617","Bacterosira bathyomphala",4
"1622","Heterorhabdus oikoumenikis",4
"1691","Dactyliosolen tenuijunctus",4
"1696","Calanus simillimus",4
"241","Ceratium petersii",4
"243","Ceratium praelongum",4
"301","Acrocalanus spp.",4
"396","Euchaeta spinosa",4
"398","Euchirella amoena",4
"430","Candacia varicans",4
"958","Melosira arctica",4
"979","Amphiprora hyperborea",4
"10503","Stelladinium stellatum",3
"10523","Pterosperma rotondum",3
"10555","Scina spp.",3
"10645","Rhizosolenia rhombus",3
"10665","Euphausia triacantha",3
"10695","Aetideus acutus",3
"10710","",3
"10747","",3
"1564","Neocalanus plumchrus",3
"1575","Parahistioneis spp.",3
"1651","Codonellopsis gaussi",3
"402","Euchirella pulchra",3
"417","Scottocalanus persecans",3
"432","Heterostylites longicornis",3
"597","Heterorhabdus clausi",3
"10524","Pterosperma eurypteron",2
"10534","Thalassiosira resting spore",2
"10616","Asterionellopsis kariana",2
"10621","Pavillardinium spp.",2
"10691","Centropages brachiatus",2
"10699","Phaeocystis antarctica",2
"10704","Paraeuchaeta antarctica",2
"10713","Facetotecta",2
"1582","Undeuchaeta intermedia",2
"1595","Pontella pulvinata",2
"1611","Pseudolubbockia dilatata",2
"1683","Gaetanus pungens",2
"1690","Meringosphaera spp.",2
"1699","Neocalanus tonsus",2
"1700","Rhincalanus gigas",2
"1702","Clione",2
"330","Diaixis pygmaea",2
"348","Cephalobranchia spp.",2
"364","Heterorhabdus spinifer",2
"377","Candacia norvegica",2
"379","Candacia tenuimana",2
"403","Gaetanus minor",2
"422","Xanthocalanus",2
"601","Haloptilus acutifrons",2
"604","Augaptilus spp.",2
"954","Campylosira cymbelliformis",2
"960","Amphidoma caudata",2
"963","Oculosetella gracilis",2
"973","Monstrilla longiremis",2
"987","Calanopia americana",2
"988","Pontellopsis regalis",2
"10556","Phrosina spp.",1
"10560","Gregarines (+)",1
"10571","Jaxea nocturna",1
"10628","Fragilariopsis doliolus",1
"10640","Lioloma pacificum",1
"10643","Amphiprora kufferathii",1
"10647","Dinophysis contracta",1
"10652","Calanoides acutus",1
"10686","Spinocalanus",1
"10700","Mediopyxis helysia",1
"10706","Rhizosolenia antennata",1
"10708","",1
"10726","Plastic fragment yellow",1
"10733","Plastic flake yellow",1
"10736","",1
"10738","",1
"10749","Cladocera",1
"1546","Rhabdonema spp.",1
"1625","Giardella thompsoni",1
"1626","Giardella callianassae",1
"1643","Dinophysis rudgei",1
"1682","Striatella spp.",1
"1687","Cyclopinoides longicornis",1
"20","Saphirella tropica",1
"201","Gossleriella tropica",1
"218","Ceratium geniculatum",1
"358","Pneumodermopsis canephora",1
"371","Amallothrix spp.",1
"433","Lophothrix spp.",1
"473","Notobranchaea spp.",1
"575","Scottocalanus securifrons",1
"816","Pontellina securifer",1
"817","Anomoeoneis spp.",1
"948","Biddulphia biddulphiana",1
"949","Melosira varians",1
"955","Pseudochirella spp.",1
"957","Melosira lineata",1
"964","Actinocyclus octonarius var. ralfsii",1
